x,predicted,std.error,conf.low,conf.high,group,group_col
0,0.342635110293386,0.0195795179204215,0.304259960334703,0.381010260252068,T,T
0,0.557886790948738,0.0474525574886931,0.464881487296584,0.650892094600893,R,R
0,0.293455966920979,0.0358124803677987,0.223264795203045,0.363647138638912,B,B
0,0.833561136724286,0.00531076516873344,0.823152228263219,0.843970045185354,O,O
0.5,0.14839589455657,0.00835630942329988,0.132017829043229,0.16477396006991,T,T
0.5,0.267287486775153,0.0131126465140099,0.241587171865689,0.292987801684617,R,R
0.5,0.109931198357945,0.0346200016773449,0.0420772419256324,0.177785154790257,B,B
0.5,0.751676233889439,0.00568605331633274,0.740531774175252,0.762820693603625,O,O
1,-0.045843321180246,0.0316592714288911,-0.10789435295765,0.0162077105971584,T,T
1,-0.023311817398432,0.0566636426903676,-0.134370516304399,0.0877468815075349,R,R
1,-0.0735935702050891,0.0951466690842537,-0.260077614859177,0.112890474448999,B,B
1,0.669791331054591,0.0147243013846142,0.640932230643234,0.698650431465948,O,O
